"Hash","Message","Hash_Parent","Is_Merge_Commit","Modified_Files"
"b64869eae4c9b5962b0e71d3b060709c20931214","Let buttons fall back to the original color when deselected","['3f8a652fe2d61e15d29ba9f5b76758c3b29533f7']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658D13EA10>, <pydriller.domain.commit.ModifiedFile object at 0x000002658C5C1E50>]"
"ad111e5d6c044ffbd562c5c35019f82e934d7620","Refactor: extract tool handling from Canvas  I wanted to avoid duplicating tool-related state between PaintApp and Canvas  and prepare for adding different tools with more state and which will want to live in a separate file.  This makes it slower  when running with `textual run --dev paint.py`; when running with `python3 paint.py`  it's fine. When running in dev mode with `textual console` devtool connected  it's extremely much slower. But if it was faster  you'd have more messages to scroll through  ha. So it's a tradeoff.* *Ideally you want it to be fast and for the logs to be compacted.  In the future  I could bypass the message system for performance  but for now I think it's better to stay idiomatic.","['338d438470a7910a464940ea3a7b38f2a25d3639']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658C655710>]"
"6d17f085f5a655ef42bce2569ba3f0b1b1c497e9","Debug: show regions when undoing/redoing (currently the whole canvas)","['4fa7dda9a070491b3c1529f89b5e5dc6e7e6f064']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658D11D410>]"
"0aaa9db8395aff4b4df8f6544ab8562de1d9ceaf","Make region update debug a flag","['15db3f453818e171ba68be4492910820c4ed24fc']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658C5C2890>]"
"6d5430ad2eae8be87728ff582d39610aaf9ed040","Fix error due to action regions exceeding canvas bounds","['0aaa9db8395aff4b4df8f6544ab8562de1d9ceaf']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658DBE5350>]"
"3e84ae7e17efd7cdf7d368f0c4a7be3974ed8949","Disable region update debug","['6d5430ad2eae8be87728ff582d39610aaf9ed040']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658D62FE90>]"
"303d6942f4badb851cc755a0c9d4b05ca94e610f","Switch out fill tool icon to avoid text row offset artifacts","['5b1c16ddc35ec8f76da1a46aad59d738ce5c74c0']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658C0DC690>]"
"3652b2bd8e1c905b4bb941a4280bf5e164313e9a","Add flood fill support  * Implemented the Fill With Color tool using the algorithm described as   ""combined-scan-and-fill span filler"" on Wikipedia. * I added handling for the affected region being None  which turned out more complicated than I would like...   Some cases may be able to be simplified or removed. * Also  I moved event.stop() to the top so I don't need to call it in multiple places when there are multiple return points.","['3dbbbc1c5fe5c923a37eb6404ff64ca2c640636a']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658D62CF10>]"
"ba646f7cdb3e8d0bb6a445f0a762d3ad9fe3bbcb","Add textual screenshot to readme  This took a lot of trial and error to get this working. - First I had to figure out how to copy the terminal output as HTML.   I had to configure keybindings for Select All and Copy As HTML in   the Ubuntu terminal. - GitHub doesn't support line-height in markdown  so I came up with   using an SVG with <foreignObject> to contain the screenshot HTML. - GitHub doesn't support inline SVG  so I had to use <img>  that's fine.   An external file is cleaner anyways. - I spent a long time trying to fix the seams between rows of text.   `line-height: <font-size>` is not `line-height: 1`!   I think I tried `line-height: 1` first  but it wasn't working for some   reason so I tried a bajillion things  having mentally discounted it    before circling back to it and trying it again and it actually worked. - I spent a long time futzing about with SVG viewports and units. - The text was staggered due to some of the Unicode characters  so I   developed a script to fix that up. I managed to achieve a nice   development cycle for this  but only near the end of developing it.   Most of the time while working on it I was copying and pasting   the updated code into the console after hitting up up enter to   re-run grapheme-splitter's JS.   The next commit will apply this script. - All in all  getting this screenshot working took basically all day!   Compare that to my first day of progress on this project  having   never used the Textual framework before  and also having not used   Python for a while. In summary  coding is a land of contrasts. - VS Code's markdown rendering isn't working with the ch/lh units.","['3cf76d9486afe1e81ca3b4aaefedbf32a35b7419']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658C628850>, <pydriller.domain.commit.ModifiedFile object at 0x000002658C66ED90>]"
"89e8c18dc430790ebdcb0a195f10ec788a7d4295","Apply SVG fix-up script (contained in the SVG)","['ba646f7cdb3e8d0bb6a445f0a762d3ad9fe3bbcb']","False","[<pydriller.domain.commit.ModifiedFile object at 0x000002658C63DDD0>]"
