"Hash","Message","Filename","Source_Code_Old","Source_Code_New","Diff","LLM_Inference","Rectified_Message"
"b64869eae4c9b5962b0e71d3b060709c20931214","Let buttons fall back to the original color when deselected","paint.css","Screen {     overflow: auto; }  #paint {     layout: grid;     grid-size: 2;     grid-gutter: 1 2;     grid-columns: 20 1fr;     grid-rows: 1fr;     margin: 0 0;     min-height: 25;     min-width: 26;     height: 100%; }  #tools_box {     layout: grid;     grid-size: 2;     grid-gutter: 0 1;     grid-columns: 6;     grid-rows: 3;     padding: 1 1;     /* min-height: 25; */     /* min-width: 26; */     height: 100%; }  Button {     width: 100%;     height: 100%; } ","Screen {     overflow: auto; }  #paint {     layout: grid;     grid-size: 2;     grid-gutter: 1 2;     grid-columns: 20 1fr;     grid-rows: 1fr;     margin: 0 0;     min-height: 25;     min-width: 26;     height: 100%; }  #tools_box {     layout: grid;     grid-size: 2;     grid-gutter: 0 1;     grid-columns: 6;     grid-rows: 3;     padding: 1 1;     /* min-height: 25; */     /* min-width: 26; */     height: 100%; }  #tools_box Button.selected {     background: #aaa; }  Button {     width: 100%;     height","@@ -26 6 +26 10 @@ Screen {      height: 100%;  }   +#tools_box Button.selected { +    background: #aaa; +} +  Button {      width: 100%;      height: 100%; ","add button background to example","add let buttons fall back to the original color wh"
"b64869eae4c9b5962b0e71d3b060709c20931214","Let buttons fall back to the original color when deselected","paint.py","from enum import Enum  from textual import events from textual.app import App  ComposeResult from textual.containers import Container from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.widgets import Button  Static  class Tool(Enum):     """"""The tools available in the Paint app.""""""     free_form_select = 1     select = 2     eraser = 3     fill = 4     pick_color = 5     magnifier = 6     pencil = 7     brush = 8     airbrush = 9     text = 10     line = 11     cu","from enum import Enum  from textual import events from textual.app import App  ComposeResult from textual.containers import Container from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.widgets import Button  Static  class Tool(Enum):     """"""The tools available in the Paint app.""""""     free_form_select = 1     select = 2     eraser = 3     fill = 4     pick_color = 5     magnifier = 6     pencil = 7     brush = 8     airbrush = 9     text = 10     line = 11     cu","@@ -115 9 +115 8 @@ class PaintApp(App):        def watch_selected_tool(self  old_selected_tool: Tool  selected_tool: Tool) -> None:          """"""Called when selected_tool changes."""""" -        # TODO: revert to default color defined by built-in style -        self.query_one(""#tool_button_"" + old_selected_tool.name).styles.background = ""#555"" -        self.query_one(""#tool_button_"" + selected_tool.name).styles.background = ""#aaa"" +        self.query_one(""#tool_button_"" + old_selected_tool.name).classes = ""too","update paintapp.py","update let buttons fall back to the original color"
"ad111e5d6c044ffbd562c5c35019f82e934d7620","Refactor: extract tool handling from Canvas  I wanted to avoid duplicating tool-related state between PaintApp and Canvas  and prepare for adding different tools with more state and which will want to live in a separate file.  This makes it slower  when running with `textual run --dev paint.py`; when running with `python3 paint.py`  it's fine. When running in dev mode with `textual console` devtool connected  it's extremely much slower. But if it was faster  you'd have more messages to scroll through  ha. So it's a tradeoff.* *Ideally you want it to be fast and for the logs to be compacted.  In the future  I could bypass the message system for performance  but for now I think it's better to stay idiomatic.","paint.py","from enum import Enum  from rich.segment import Segment from rich.style import Style from textual import events from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widgets import Button  Static  class Tool(Enum):     """"""The tools available in the Paint app.""""""  ","from enum import Enum  from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widgets import Button  Static  class Tool(Enum)","@@ -3 6 +3 7 @@ from enum import Enum  from rich.segment import Segment  from rich.style import Style  from textual import events +from textual.message import Message  MessageTarget  from textual.app import App  ComposeResult  from textual.containers import Container  Horizontal  Vertical  from textual.geometry import Size @@ -170 25 +171 60 @@ class AnsiArtDocument:              ansi += ""\033[0m\r""          return ansi   +def bresenham_walk(x0: int  y0: int  x1: int  y1: int  callback) -> None: +    """"""Bre","add missing docstring","add refactor : extract tool handling from canvas i"
"6d17f085f5a655ef42bce2569ba3f0b1b1c497e9","Debug: show regions when undoing/redoing (currently the whole canvas)","paint.py","from enum import Enum  from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widgets import Button  Static  ","from enum import Enum from random import randint from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widge","@@ -1 5 +1 5 @@  from enum import Enum - +from random import randint  from rich.segment import Segment  from rich.style import Style  from textual import events @@ -166 6 +166 7 @@ class AnsiArtDocument:          if target_region is None:              target_region = Region(0  0  source_region.width  source_region.height)          offset = Offset(target_region.x - source_region.x  target_region.y - source_region.y) +        random_color = ""rgb("" + str(randint(0  255)) + "" "" + str(randint(0  255)) + "" "" + st","add ansiart example for the color selection","add debug : show regions when undoing/redoing ( cu"
"0aaa9db8395aff4b4df8f6544ab8562de1d9ceaf","Make region update debug a flag","paint.py","from enum import Enum from random import randint from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widge","from enum import Enum from random import randint from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widge","@@ -149 6 +149 9 @@ class ColorsBox(Container):                      button.styles.background = color                      yield button   + +debug_region_updates = True +  class AnsiArtDocument:      """"""A document that can be rendered as ANSI.""""""   @@ -167 21 +170 22 @@ class AnsiArtDocument:              target_region = Region(0  0  source_region.width  source_region.height)          source_offset = source_region.offset          target_offset = target_region.offset -        random_color = ""rgb("" + str(rand","add ansiart document for the color box","update make region update debug a flag add ansiart"
"6d5430ad2eae8be87728ff582d39610aaf9ed040","Fix error due to action regions exceeding canvas bounds","paint.py","from enum import Enum from random import randint from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widge","from enum import Enum from random import randint from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widge","@@ -420 6 +420 7 @@ class PaintApp(App):          self.undos.append(action)          region = self.stamp_brush(event.mouse_down_event.x  event.mouse_down_event.y  region)          action.region = region +        action.region = action.region.intersection(Region(0  0  self.image.width  self.image.height))          action.update(self.image_at_start)          self.canvas.refresh(region)          event.stop() @@ -434 6 +435 7 @@ class PaintApp(App):                    # Update action region and image data      ","update action region on mouse down","update fix error due to action regions exceeding c"
"3e84ae7e17efd7cdf7d368f0c4a7be3974ed8949","Disable region update debug","paint.py","from enum import Enum from random import randint from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widge","from enum import Enum from random import randint from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip import Strip from textual.widget import Widget from textual.widge","@@ -150 7 +150 7 @@ class ColorsBox(Container):                      yield button     -debug_region_updates = True +debug_region_updates = False    class AnsiArtDocument:      """"""A document that can be rendered as ANSI."""""" @@ -316 7 +316 7 @@ class PaintApp(App):      show_colors_box = var(True)      selected_tool = var(Tool.pencil)      selected_color = var(palette[0]) -    selected_char = var(""#"") +    selected_char = var("" "")        undos = []      redos = [] ","add example for the color box example","add disable region update debug example for the co"
"303d6942f4badb851cc755a0c9d4b05ca94e610f","Switch out fill tool icon to avoid text row offset artifacts","paint.py","import re import sys from enum import Enum from random import randint from typing import List import stransi from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip impor","import re import sys from enum import Enum from random import randint from typing import List import stransi from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip impor","@@ -61 7 +61 7 @@ class Tool(Enum):              Tool.free_form_select: ""⚝""               Tool.select: ""⬚""               Tool.eraser: ""🧼""  -            Tool.fill: ""🫗""  +            Tool.fill: ""🌊""  # ""🫗"" causes jutting out in Ubuntu terminal  ""🪣"" causes the opposite in VS Code terminal              Tool.pick_color: ""💉""               Tool.magnifier: ""🔍""               Tool.pencil: ""✏️""  ","update tool.py","update switch out fill tool icon to avoid text row"
"3652b2bd8e1c905b4bb941a4280bf5e164313e9a","Add flood fill support  * Implemented the Fill With Color tool using the algorithm described as   ""combined-scan-and-fill span filler"" on Wikipedia. * I added handling for the affected region being None  which turned out more complicated than I would like...   Some cases may be able to be simplified or removed. * Also  I moved event.stop() to the top so I don't need to call it in multiple places when there are multiple return points.","paint.py","import re import sys from enum import Enum from random import randint from typing import List import stransi from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip impor","import re import sys from enum import Enum from random import randint from typing import List import stransi from rich.segment import Segment from rich.style import Style from textual import events from textual.message import Message  MessageTarget from textual.app import App  ComposeResult from textual.containers import Container  Horizontal  Vertical from textual.geometry import Offset  Region  Size from textual.css.query import NoMatches from textual.reactive import var  reactive from textual.strip impor","@@ -320 8 +320 9 @@ class Action:        def update(self  document: AnsiArtDocument) -> None:          """"""Grabs the image data from the current region of the document."""""" -        self.sub_image_before = AnsiArtDocument(self.region.width  self.region.height) -        self.sub_image_before.copy_region(document  self.region) +        if self.region: +            self.sub_image_before = AnsiArtDocument(self.region.width  self.region.height) +            self.sub_image_before.copy_region(document  self.region) ","fix image data update","add flood fill support * implement the fill with c"
"ba646f7cdb3e8d0bb6a445f0a762d3ad9fe3bbcb","Add textual screenshot to readme  This took a lot of trial and error to get this working. - First I had to figure out how to copy the terminal output as HTML.   I had to configure keybindings for Select All and Copy As HTML in   the Ubuntu terminal. - GitHub doesn't support line-height in markdown  so I came up with   using an SVG with <foreignObject> to contain the screenshot HTML. - GitHub doesn't support inline SVG  so I had to use <img>  that's fine.   An external file is cleaner anyways. - I spent a long time trying to fix the seams between rows of text.   `line-height: <font-size>` is not `line-height: 1`!   I think I tried `line-height: 1` first  but it wasn't working for some   reason so I tried a bajillion things  having mentally discounted it    before circling back to it and trying it again and it actually worked. - I spent a long time futzing about with SVG viewports and units. - The text was staggered due to some of the Unicode characters  so I   developed a script to fix that up. I managed to achieve a nice   development cycle for this  but only near the end of developing it.   Most of the time while working on it I was copying and pasting   the updated code into the console after hitting up up enter to   re-run grapheme-splitter's JS.   The next commit will apply this script. - All in all  getting this screenshot working took basically all day!   Compare that to my first day of progress on this project  having   never used the Textual framework before  and also having not used   Python for a while. In summary  coding is a land of contrasts. - VS Code's markdown rendering isn't working with the ch/lh units.","README.md"," textual-paint =============  What if MS Paint isn't retro enough? You need Paint in your terminal.  This is a TUI (Text User Interface) image editor  inspired by MS Paint  and built with [Textual](https://textual.textualize.io/).  ## Features  - Open and save images 	- [ ] PNG (.png) 	- [ ] Bitmap (.bmp) 	- [x] ANSI (.ans) 		- only supports loading files saved by this program; ANSI files can vary a lot and even encode animations 	- no save dialog yet  you can only save a file opened via the command line - "," textual-paint =============  What if MS Paint isn't retro enough? You need Paint in your terminal.  This is a TUI (Text User Interface) image editor  inspired by MS Paint  and built with [Textual](https://textual.textualize.io/).  <!-- GitHub doesn't support figure/figcaption in markdown. --> <table> <tr><td align=""center""> <img src=""screenshot.svg"" alt=""MS Paint like interface"" /> </td></tr> <tr><td align=""center"">Textual Paint terminal screen buffer in HTML in SVG in HTML.<br>This might not render correc","@@ -7 6 +7 14 @@ You need Paint in your terminal.    This is a TUI (Text User Interface) image editor  inspired by MS Paint  and built with [Textual](https://textual.textualize.io/).   +<!-- GitHub doesn't support figure/figcaption in markdown. --> +<table> +<tr><td align=""center""> +<img src=""screenshot.svg"" alt=""MS Paint like interface"" /> +</td></tr> +<tr><td align=""center"">Textual Paint terminal screen buffer in HTML in SVG in HTML.<br>This might not render correctly in your browser.</tr></td> +</table> ","add link to ms paint image","add textual screenshot to readme this took a lot o"
